00:00 ~ 00:07 -  으 으
19:20 ~ 19:40 - Functional Interface는 Lambda 식 새로운 를 만들지 상속받아서 재정의할 때 사용 anonymous 와 유사 예제, ImageLoader.ImageCache 에 대해 생성 별도 정의 없이 함수 내에서 인자로 구현 mimageLoader ImageLoader(mQueue, ImageLoader. ImageCache private cache LruCache<String, Bitmap>( maxSize: 20) getBitmap (url: String): Bitmap? return cache.get(ur1) putBitmap(ur1: String, bitmap: Bitmap) cache.put(ur1, bitmap) }) 10
19:25 ~ 19:30 -  자바에 있어서 자바 언어에서는 anonymous inner class
19:30 ~ 19:33 -  이런 것과 유사하다고 볼 수 있는데요.
19:33 ~ 19:38 -  그러니까 이름을 정하지 않고 클래스의 구현을 바로 만들 때
19:38 ~ 19:41 -  이렇게 우리가 anonymous 클래스를 많이 사용했었는데요.
19:40 ~ 20:00 - 를 만들지
19:41 ~ 19:47 -  그것처럼 여기서도 object라고 하는 것을 사용해서
19:47 ~ 19:55 -  object 한 다음에 이런 식으로 바로 여기다 이렇게 만들어 주는 이런 문법이 있습니다. 조금 이런 것은 좀 낯설 수 있겠죠. 이게 실제로 우리가 나중에
19:55 ~ 20:00 -  쓰게 될 그런 코드 인데요. 여기에 보시면은
20:00 ~ 20:07 -  object라고 하는 것을 써서 imageLoader라고 하는 클래스에 imageCache라고 하는 클래스가 있는데
20:00 ~ 20:20 - ImageLoader (mQueue, cache.get(url)
20:07 ~ 20:18 -  이 imageCache라고 하는 클래스를 여기서 구현을 해주고 있는 겁니다. 그래서 실제로 여기 지금 여기 콤마 있으니까 여기다 객체를 넘겨주는데 따로 클래스를
20:18 ~ 20:22 -  만들고 그거 인스턴셰이션 해고 인스턴스 만들고 주는 것이 아니라
20:22 ~ 20:25 -  바로 객체 자체를 만들 때 사용하게 되는 것입니다.
20:25 ~ 20:30 -  여기 보시면 functional interface는 람다식이 가능하다고 되어
20:30 ~ 20:35 -  지금 여기 보니까 뭘 만들어야 되는게 많이 있네요. 오버라이드 해야 될게 2개가 있네요.
20:35 ~ 20:43 -  그러다 보니까 얘는 사용할 수가 없는데요. 만약에 여기에 그 인터페이스 안에 함수가 하나만 딱 들어 있다. 그런걸 펑셔널 인터페이스 라고 부르는데요.
20:40 ~ 21:00 - LruCarthe<String,
20:43 ~ 20:51 -  아니면 뭐 sam 이라고 부르는데요. 그렇게 sam 이나 아니면 펑셔널 인터페이스인 경우에는는 이렇게 많이 쓸 필요 없이
20:51 ~ 20:55 -  그냥 바로 람다식으로 바로 지정을 할 수 있어 가지고
20:55 ~ 21:00 -  굉장히 편하게 쓸 수 있습니다.
21:00 ~ 21:03 -  보면서 말씀드리도록 하겠습니다.
21:04 ~ 21:13 -  그 다음에 데이터 클래스 라고 하는 건데요. 구글에서 이 코틀린을 처음 소개하면서 굉장히 자랑스럽게 했던게 기억이 납니다.
21:13 ~ 21:18 -  그래서 자바에서는 이만큼 긴거다 하고 소스코드를 자바 소스코드를 먼저 이렇게 보여줍니다.
21:18 ~ 21:21 -  그리고 나서 코틀린에서는 이거 한 줄이면 됩니다.
21:20 ~ 21:40 - data 구글에서 처음 소개하면서 자랑스럽게 보여줬던 영상에 나옴 "Java에서는 이만~큼 긴 소스 코드를 Kotlin에서는 단 한줄만 쓰면 됩니다." Default C++ struct도 접근 지정자가 Gundam (var model:String, var name:String, image:String) 개의 멤버 가짐 g= Gundam("RX-78-2", "건담", "건담.jpg")로 초기화 사용할 때는 g.model로 접근 가능 11 Institute,
21:21 ~ 21:24 -  그럴 때 사람들이 막 박수치고 이런 장면이 나오죠.
21:24 ~ 21:30 -  그러니까 그만큼 매번 우리가 쓸데없이 계속 많이 했던 그런 장면이
21:30 ~ 21:33 -  이것이 예제입니다.
21:33 ~ 21:36 -  이런식으로 쓰면 여기 constructor도 들어있고
21:36 ~ 21:39 -  getter, setter가 전부 다 들어있는 형태로 만들어지기 때문에
21:39 ~ 21:42 -  굉장히 간단하게 처리할 수 있겠죠.
21:40 ~ 22:00 - 개의 멤버 가짐
21:42 ~ 21:45 -  한 줄로 다 처리하니까 상당히 매력적이라고 볼 수 있겠죠.
21:45 ~ 21:48 -  여기에 있는 kotlin 언어는
21:48 ~ 21:51 -  default visibility가 public이라고 했죠. 만약에가 아니고 default visibility가 public이라고 했죠?
21:51 ~ 21:54 -  만약에가 아니고,
21:54 ~ 22:00 -  C++ 언어에 있는 struct 같은 것도 default 접근 지정자가 public이죠.
22:00 ~ 22:07 -  간혹 스트럭트와 클래스의 차이점에 대해서 얘기하라고 하면
22:00 ~ 22:20 - 단 한줄만 쓰면 publicr 접근 지정자가
22:07 ~ 22:12 -  면접실에 물어볼 수 있는데요. 스트럭트와 클래스의 유일한 차이는요.
22:12 ~ 22:19 -  디폴트 접근 지정자가 public이면 스트럭트고 디폴트 접근 지정자가 private이면 클래스입니다.
22:19 ~ 22:22 -  그렇게 얘기하시면 정답입니다.
22:22 ~ 22:25 -  예를 들면 상속이 안되고 그러면 틀리는 겁니다.
22:25 ~ 22:27 -  structure도 상속되고 다 똑같으니까요.
22:27 ~ 22:30 -  유일한 차이점은 default
22:30 ~ 22:35 -  접근 지정자가 struct는 public이다 라는거
22:35 ~ 22:41 -  몰라도 되는데요. 알아두시면 혹시나 면접에 그런 그런 면접
22:41 ~ 22:45 -  글쎄요. 별로 좋은 면접 같지 않은데요. 그런걸 물어보면 그렇게 대답하시면 될 것 같구요.
22:45 ~ 22:51 -  별로 쓸모는 없습니다. 자 예제 보시면 이렇게 데이터 클래스 해가지고요
22:51 ~ 22:54 -  거기에 건담이라고 돼 있고
22:54 ~ 22:57 -  여기에 이런 식으로 베리어블로 모델
22:57 ~ 23:00 -  그 다음에 네임 이미지
23:00 ~ 23:07 -  이런 것들을 가지고 있네요. 그래서 초기화 할 때는 이런 식으로 바로 그냥 건담 한 다음에 new도 없죠. 그래서 굉장히 편하죠.
23:07 ~ 23:17 -  건담해서 이렇게 초기화 하고요. 쓸 때는 여기 이게 변수를 만약에 G로 만들었다 그러면 G.model 하고 바로 접근할 수 있게 됩니다.
23:17 ~ 23:24 -  변수는 두 가지 종류가 있는데요. val 이라는 것과 var 이라는 것이 있습니다.
23:20 ~ 23:40 - 변수 두종류 read-only paint: Paint Paint() bmp: Bitmap 할당 가능 변수이름: 값을 초기화하는 경우에 값의 타입이 명확하다면 변수의타입을 지정하지 않아도 됨 ?(물음표)가 붙는 경우는 변수가 null을 가리킬 수 있는 nullable이라는 의미 Safety 참조 12
23:24 ~ 23:27 -  val 이라는 것은 read-only 변수이고
23:27 ~ 23:30 -  var 이라는 것은 할당이 가능한 변수입니다.
23:30 ~ 23:35 -  여기 보시면 얘는 제일 처음에 이렇게 초기화가 되어 있으면은
23:35 ~ 23:39 -  이것을 바꾸지 못하는 거고요. 그 다음에 var로 되어 있다 그러면
23:39 ~ 23:42 -  bmp에다가 다른 것들을 넣어 줄 수 있겠죠.
23:40 ~ 24:00 - 두 종류 bmb: 수 있는
23:42 ~ 23:46 -  자, type은 이렇게 변수 이름 다음에 콜론하고 한 칸 띄고
23:46 ~ 23:48 -  그 다음에 type이 나오는 거 보실 수 있고요.
23:48 ~ 23:52 -  자, 그 다음에 여기 뒤에 막 물음표 이렇게 붙어 있는 것들이 많이 있는데요
23:52 ~ 23:55 -  그런건 Nullable 이라고 하는 건 Null이 될 수 있다는 의미인데요
23:55 ~ 24:00 -  나중에 Null Safety 에서 보도록 하겠습니다
24:00 ~ 24:06 -  late init는 늦게 초기화한다는 뜻이겠죠. 그래서
24:00 ~ 24:20 - lateinit constructor() 초기화할 안써도 됨 Nullable일 때는 쓸 수 없음 isInitialized로 검사 Nullable이 아닌데 초기화 하지 않을 때사용 예제) mImageLoader 만들고 onCreate()에서 초기화 mimageLoader: onCreate (savedInstaneState: setContentView(R.layout.activity main) 13
24:06 ~ 24:14 -  컨스트럭터에서 초기화 할 때는 안 써도 되는데요. nullable일 때는 이걸 쓸 수가 없구요.
24:14 ~ 24:25 -  null이 들어갈 수 있는 거니까 지정 안 할 수 있으니까요. 그 다음에 isInitialized 이거로 검사가 가능합니다. 지금 초기화가 됐는지 안 됐는지
24:20 ~ 24:40 - constructor()에서 초기화 하지 않을때 사용 onCreate(savedinstanceStte:
24:25 ~ 24:30 -  만약에 nullable이 아닌데 그러니까 null이 들어가면 안 되는데
24:30 ~ 24:35 -  이것을 덧널이라고 하는데요. 그것을 초교하지 않고 만약에 사용을 했다
24:35 ~ 24:43 -  그럴 경우에 이런 식으로 rate init을 붙여 줘야 됩니다. 지금 여기서 rate init이라고 하는 것은
24:40 ~ 25:00 - lateini
24:43 ~ 24:49 -  먼저 그 queue를 만든 다음에, 지금 여기 소스 코드에는 queue가 없는데요.
24:49 ~ 24:51 -  queue를 만든 다음에
24:51 ~ 24:54 -  이것을 초기화 해줘야 되기 때문에
24:54 ~ 24:57 -  여기에다가는 이렇게 late init이라고 만들어 주고
24:57 ~ 25:00 -  그 다음에 다른 작업을 하고 나서 그때 초기화
25:00 ~ 25:03 -  이런식으로 쓴다고 보시면 되겠습니다.
25:03 ~ 25:06 -  late에 있는 키워드를 보시면
25:06 ~ 25:09 -  여기서는 초기화 안해도 나중에 초기화 하는거구나 라고 생각하시면 되겠죠.
25:09 ~ 25:12 -  그 다음에 함수인데요.
25:12 ~ 25:15 -  FUN이라고 이렇게 씁니다.
25:15 ~ 25:18 -  앞에 FUN을 붙여서 함수를 만들고요.
25:18 ~ 25:23 -  파라미터는 그냥 변수하듯이 이런식으로 변수 이름 콜론하고 타입 정해주시면 되겠고요.
25:20 ~ 25:40 - (function) 앞에 붙여야함 Parameter 선언과 같이 타입 형식 개일 때는 콤마(,)로 분리 Unit: 반환값 없음r Unit인 경우 생략 가능 getItemId(position: Int): Long position.toLorg() 반환 값은 타입이고 파라미터는 Int 하개를 갖는 getItemId() 함수 정의 14
25:23 ~ 25:27 -  그 다음에 이 함수의 반환값은 이렇게 콜론하시고
25:27 ~ 25:30 -  뒤에다 이렇게 타입을 써주시면 되는데
25:30 ~ 25:35 -  만약에 반환값이 없다고 했을 경우에는 unit, 여기 colon, unit이라고 쓰면 됩니다.
25:35 ~ 25:43 -  근데 이 unit인 경우에는 생략이 가능하니까 이게 뒤에가 colon하고 아무것도 없다 그러면 반환값이 없구나 라고 생각하시면 되겠죠.
25:48 ~ 26:00 -  예제를 보시면 여기에 반환값이 long이고 파라미터는 int 포지션 한 개를 갖는 get item id를 만들었다 라고
26:00 ~ 26:01 -  그렇게 보시면 되겠죠.
26:00 ~ 26:20 - Int 한 개를
26:03 ~ 26:05 -  자, default argument이라고 하는 게 있는데요.
26:05 ~ 26:08 -  이런 식으로 여기에 equal 해가지고 주게 되면은
26:08 ~ 26:11 -  사용자가 이 앞에 있는 한 개만, 원래 두 개죠? 두 개인데
26:11 ~ 26:13 -  하나만 불러도 자동으로 값이 들어가는 거고요.
26:13 ~ 26:17 -  named argument이라고 하는 것은 먼저 value가 integer 타입이고
26:17 ~ 26:20 -  text가 string 타입인데, 이거를 부를 때
26:20 ~ 26:23 -  이렇게 이게 뒤에 있는 걸 먼저 이렇게 써도 된다는 얘기죠.
26:20 ~ 26:40 - 함수 활용 Arguments 호출시에 않으면 값지정 myFunc(value: Int, text: String "") { } caller() myFunc( value: 100) Named IDE에서 회색으로 보여주는 것과 비슷하게 명시적으로 쓸 수 있 순서 바뀌어도 됨 myFunc(vale: String) {} myFunc(text="Hello" value=100) 15
26:23 ~ 26:26 -  text="hello", 이렇게 써도 된다는 얘기입니다.
26:28 ~ 26:30 -  자, 그 다음에 굉장히 유용한
26:30 ~ 26:36 -  string 템플릿을 많이 쓰게 될 겁니다. printf %d 같은 거라고 보시면 되는데
26:36 ~ 26:40 -  이거를 원래는 이렇게 쓰죠. 쌍따옴표하고 어쩌고 저쩌고 한 다음에
26:40 ~ 26:45 -  format%d 이런 게 들어간 걸 쓰고 쌍따옴표하고 컴마 한 다음에
26:40 ~ 27:00 - Templates 유용하게 사용할 수 있는 문법 printf()의 %d생각하면됨 따로 분리하지 않고 스트링 내에 집어넣음 $ 사용,{}도사용가능 holder.imImage.setImageUrl( url: "${SERVER_ URL}images/${mArray[positior].image}", mimageLoader) ; url 지정하는 두 번째 줄 ${SERVER _URL}의 내용이 스트링에 들어가고 바로 뒤이어 images/가 들어가며 그 뒤로 mArray의 poision번째에 저장된 image 스트링 값이 들어감 16
26:45 ~ 26:48 -  그 다음에 앞에 있는 거에 대해서 써주다 보니까
26:48 ~ 26:51 -  순서가 잘 안 맞으면 잘 안 나오거나 이런 문제가 있었는데요
26:51 ~ 26:52 -  그런 거를 이렇게 string template
26:52 ~ 26:54 -  또는 template string 이라고 하는 것을
26:54 ~ 26:55 -  사용을 하게 되면은
26:55 ~ 26:57 -  $ 하고 이런 중괄호
26:57 ~ 26:59 -  이런 거를 사용해 가지고
26:59 ~ 27:00 -  굉장히 편하게
27:00 ~ 27:04 -  예제 보시면 이 줄인데요. 여기에 server-url 이라고 하는 것이
27:04 ~ 27:08 -  server-underbar-url 이라고 하는 것이 const value이고요.
27:08 ~ 27:12 -  val 이고요. 그 다음에 여기에 marray 라고 하는 array를 만들어 놓은 겁니다.
27:12 ~ 27:17 -  그래서 이걸 쓸 때 이렇게 $ 하고 여기에는 지금 만약에
27:17 ~ 27:22 -  슬래시가 있었으면은 이거를 이렇게 중간으로 안 써도 되는데요.
27:20 ~ 27:40 - 사용,{}도 사용가능 "${SERVER_URL} images/${mArray[position].image}",
27:22 ~ 27:26 -  제가 이 Server URL을 만들 때, 구현을 할 때, 거기에 Slash를 넣었습니다.
27:26 ~ 27:30 -  그러다 보니까 Server URL 하고 아무것도
27:30 ~ 27:35 -  이미지 수는 전체를 변수 이름으로 인식을 하니까
27:35 ~ 27:39 -  이것을 구분하기 위해서 중괄호를 넣어준 거고요.
27:39 ~ 27:43 -  여기에 있는 것도 마찬가지로 mArray에 복잡한 것들이 나오니까
27:43 ~ 27:49 -  이것을 값을 계산할 수 있도록 넣어준 거라고 보시면 되겠습니다.
27:49 ~ 27:52 -  굉장히 편리하겠죠.
27:52 ~ 28:00 -  자 그 다음에 visibility modifiers 라고 하는 것이 클래스에 있는 비저빌리티 접근 지정자라고 생각합니다.
28:00 ~ 28:04 -  privacy는 현재 클래스에서만 보이고
28:00 ~ 28:20 - Visibility Modifiers in Classes 현재 내부에서만 보임 Outer 클래스에서도 못 봄 protected 모듈이 클래스 및 파생 클래스 개라면 public과 internal 동일 같은 모듈(같이 컴파일되는 코틀린 파일들의 집합) 안에서 멤버를 선언한 클래스를 볼 수 있다면 한 클래스 내부에 클래스가 있고 거기에 멤버가 있 다면 바깥의 클래스에서는 접근하지 못함 (default) 클래스를 볼 수 있다면접근 17
28:04 ~ 28:07 -  out 클래스에서도 못보는 거죠.
28:07 ~ 28:11 -  어떤게 바깥에 있고 안에 있는 거다 라고 하면
28:11 ~ 28:14 -  바깥에서 안에 있는 것을 참조 못하니까
28:14 ~ 28:19 -  java와는 다를 수 있으니까 주의하도록 하시고요.
28:19 ~ 28:21 -  그렇게 쓸 일이 잘 없기는 하고요.
28:21 ~ 28:25 -  그 다음에 protected 라고 하는 것은 현재 클래스하고 파생 클래스에서 쓰는 게 있고요.
28:25 ~ 28:30 -  public 은 그냥 다 쓰는 거니까
28:30 ~ 28:34 -  특이하게 internal이라는 것이 있습니다.
28:34 ~ 28:37 -  internal이라는 것은 모듈이라는 개념이 나오는데
28:37 ~ 28:41 -  보통 우리가 쓰는 게 그냥 모듈이 한 개 짜리여서
28:40 ~ 29:00 - 같은 모듈 (같이 컴파일되는
28:41 ~ 28:43 -  public하고 비슷하다고 보시면 되는데
28:43 ~ 28:47 -  만약에 모듈을 여러 개로 구성을 만들어 가지고 구성을 했다
28:47 ~ 28:51 -  라고 했을 때는 internal 멤버를 선언한 클래스
28:51 ~ 28:54 -  이것을 볼 수 있다면 접근이 가능하다고 했는데요
28:54 ~ 29:00 -  이 인터넷 멤버를 선언한 클래스를 아예 볼 수 없는 경우 그러면 이때는
29:00 ~ 29:06 -  어차피 접근할 수가 없겠죠. 자, 얘도 마찬가지로 public 이라고 하는 것도 무조건 다 보는게 아니구요.
29:00 ~ 29:20 - 같은모듈(같이 컴파일되는
29:06 ~ 29:14 -  public 멤버를 선언한 클래스를 볼 수 있다면 접근 가능하다는 거, 무슨 말인지 모르시면 그냥 넘어가도 되겠습니다.
29:14 ~ 29:22 -  자, 그 다음에 중요한 것은 null 안정성 이라고 하는 건데요. 이 null 안정성이라고 하는 것입니다.
29:20 ~ 29:40 - 안전성 null pointer exception 발생제거노력 C++, Java 언어에는 특이한 변수는 크게 두 가지 종류: non-null nullable Non-null 가질 수 없는 변수 가질 수 없으므로 NPE 발생하지 않음 설명 Nullable 수 있는 변수 객체의 함수를 실행하는 경우null반환 C++, Java의 발생하고프로그램종료 18
29:22 ~ 29:30 -  Kotlin에서는 Null Pointer Exception을 우리가 흔히 프로그램을 짜다가 많이
29:30 ~ 29:36 -  발생하는 거죠 그래서 어플리케이션이 그냥 죽어버리면 굉장히 골치 아픈데요 이거를 발생을
29:36 ~ 29:45 -  np 라고 줄여서 씁니다. 그래서 np 를 발생하는 것을 제거하기 위해서 노력을 했습니다. 그래서 c++ 나 자바 없이 물음표
29:40 ~ 30:00 - NPE발생하지않음 경우 null 반환
29:45 ~ 29:52 -  이런 것들이 많이 들어가게 되는데요. 변수는 두 가지 종류로 null 하고, null로 나눌 수 있습니다.
29:52 ~ 29:56 -  넌, 널은 null을 가질 수 없는 변수이니
29:56 ~ 30:00 -  null을 저장하지 못하게 컴파일러가 막아버릴 수 있습니다.
30:00 ~ 30:04 -  null 포인트 exception이 발생할 수가 없죠.
30:04 ~ 30:06 -  아예 발생할 수가 없고요.
30:06 ~ 30:08 -  그 다음에 nullable인 경우에는
30:08 ~ 30:10 -  이럴 경우에는 문제가 될 수 있는데요.
30:10 ~ 30:12 -  이게 어떻게 해결을 했냐면
30:12 ~ 30:14 -  null 객체의 함수를 실행할 경우에는
30:14 ~ 30:16 -  바로 그냥 null을 반환하도록
30:16 ~ 30:19 -  이런 옛날에 랭기지가 프로그래밍 언어가 있었는데요.
30:19 ~ 30:21 -  아무것도 없는 것한테 메시지를 보내면
30:20 ~ 30:40 - NPE 발생하고 프로그램 종료
30:21 ~ 30:23 -  아무것도 하지 않으니까 아무것도 없는 거다.
30:23 ~ 30:26 -  이런 개념인 거죠.
30:26 ~ 30:30 -  자, 근데 Java나 C++ 같은 경우에는
30:30 ~ 30:38 -  예를 들면, method를 불렀는데 p가 null이다 그러면은 거기서 프로그램이 종료해 버리죠
30:39 ~ 30:48 -  nullable 이라고 하는 것은 레퍼런스에 null이 들어갈 수 있다면 nullable 이라고 명시를 해줘야 됩니다. 그러니까 null이 들어갈 수 있느냐 없느냐를 해줘야 되는데요
30:40 ~ 31:00 - Reference에 들어갈 있다면 nullable이라고명 시해 줘야함 오른쪽에 ?(물음표) str: String? Elvis 연산자?: null일 뒤의 표현식 반환 (또는 throw로 발생) val len: Int?=str?.length?: -1 !! null이 아님이 확실하거나 발생시킬 때 사용 as? (Safe cast 연산) 타입으로 cast가 불가능하다면 len: Int? = arg 19
30:48 ~ 30:50 -  type 오른쪽에 물음표를 붙여주면 됩니다.
30:50 ~ 30:53 -  그래서 만약에 이렇게 variable을 만드는데요.
30:53 ~ 30:55 -  얘는 재할당이 가능한 거네요.
30:55 ~ 31:00 -  거기 str에 str이라고 하는 게 이름인데 거기에 string하고
31:00 ~ 31:07 -  물음표를 썼다고 했을 경우에는 str은 null을 가리킬 수 있다고 보시면 되겠습니다
31:00 ~ 31:20 - 들어갈 수
31:07 ~ 31:17 -  자 그 다음에 특이한 엘비스 연산자 라고 하는 거 이게 뭐 엘비스 머리를 닮았다고 해서 그랬다고 했던가요 뭐 그래서 이렇게
31:17 ~ 31:22 -  이름을 재밌게 붙였는데요 여기 물음표 � 콜론이라고 하는 건데 상당히 유용합니다.
31:20 ~ 31:40 - 연산자?
31:22 ~ 31:27 -  그래서 널일 경우에는 이 콜론 뒤에 있는 거를 반환해 주는 겁니다.
31:27 ~ 31:30 -  그래서 예를 들면 예제를 보시면 쉽게 아실 텐데요.
31:30 ~ 31:36 -  만약에 여기 length라고 하는 것이 nullable로 이렇게 만들었죠.
31:36 ~ 31:41 -  그런 다음에 이거를 원래는
31:41 ~ 31:50 -  여기에다가 이 len이라고 하는 변수에다가 string 값이 만약에 null이 아니라면 length를 넣어주고요.
31:50 ~ 31:53 -  만약에 string이 null이다 라고 했을 경우에는
31:53 ~ 31:56 -  여기 이렇게 "-1을 넣어주는 그런 코드입니다
31:56 ~ 31:57 -  이해가 되시나요?
31:57 ~ 32:00 -  그러니까 여기다 이게 널러버리니까요
32:00 ~ 32:04 -  그러니까 아 여기에다가 이거는 지금 인트 이거는 상관이 없겠네요
32:00 ~ 32:20 - Int?=stri?.length?:
32:04 ~ 32:10 -  인트의 물음표는 지금 상관이 없겠구요 str 의 물음표 라고 하는 것이 널러
32:10 ~ 32:16 -  부리니까 여기 점 랭스 라고 하는 거에서 만약에 스트링이 널이면 보통 여기서
32:16 ~ 32:21 -  죽잖아요 프로그램이 근데 여기서는, 코틀린에서는 그렇게 하지 않고
32:20 ~ 32:40 - Int?=strp.length?:
32:21 ~ 32:24 -  str이 null이냐 물어보고
32:24 ~ 32:28 -  이게 만약에 null이 아니라면 length를 반환해주고요.
32:28 ~ 32:30 -  그 다음에 만약에
32:30 ~ 32:33 -  str 자체가 null이라면
32:33 ~ 32:36 -  "-1을 넣어준다고 하면 되겠네요
32:36 ~ 32:39 -  여기에 물음표를 띄는게 좋겠네요
32:39 ~ 32:42 -  자 이렇게 지우는게 나을 것 같습니다
32:40 ~ 33:00 - Int=str?.length?: NPE발생시킬때사용
32:42 ~ 32:45 -  자 그 다음에 이런 연산자도 있습니다
32:45 ~ 32:48 -  느낌표 느낌표라고 하는건데요
32:48 ~ 32:51 -  이거는 null이 아닌게 확실하다라고 할 때 그 다음에 아니면 null이면 null 포인트 이섹션을 발생시�실하다 라고 할 때 그 다음에 아니면은 null이면은
32:51 ~ 32:54 -  null 포인트 이섹션을 발생시켜라 라고 할 때
32:54 ~ 32:58 -  이런 식으로 넣어주게 됩니다
32:58 ~ 33:00 -  null 체크를 한 뒤면은
33:00 ~ 33:05 -  이걸 넣어 줘도 되겠죠. 자 그 다음에 as 하고 이런식으로
33:05 ~ 33:13 -  물음표 라고 하는게 있는데요. saveCast 연산이라고 하는데 다른 타입으로 캐스트가 불가능하다면 너를 반환해 주는 겁니다.
33:13 ~ 33:21 -  그래서 여기에 만약에 ran 이라고 하는게 있는데요. 만약에 arg라고 하는 것이
33:21 ~ 33:30 -  만약에 이걸 바꿀 수가 없다 인테이저로 바꿀 수가 없다 그러면은 너를 반환을 해 주니까 이 ran이라고 하는 것은 너를 갖게 되는거죠
33:30 ~ 33:42 -  이런식으로 Nullable에 관련되어 여러가지 것들이 있으니까요 여러분들이 차근차근 나중에 보도록 하시면 되겠구요
33:40 ~ 34:00 - NetworkImage View 사용시 개발자 문서의 코드에서 실행시 에러 발생 getBitmap()의 Bitmap을 Nullable로 변경하면 해결됨 getBitmap(url: 20
33:42 ~ 34:00 -  여기 보시면 네트워크 이미지 뷰를 사용할 때 나중에 우리가 만들어 볼 건데요 이런게 있었습니다. 실제로 개발자 공식문서에 코드를 가져다 썼는데요. 실행시 에러가 발생했습니다.
34:00 ~ 34:11 -  그래서 get bitmap이 nullable로 바꿔야지만 해결이 되는게 있었는데요.
34:11 ~ 34:15 -  그럴 때 이런식으로 뒤에 물음표 붙여주면 됩니다.
34:15 ~ 34:18 -  나중에 배울 때 말씀드리면 될 것 같구요.
34:18 ~ 34:21 -  그 다음에 lambda expression이라고 하는 것
34:20 ~ 34:40 - Expression Anonymous functions 붙지 구현만 있음 식만 함수 인자로 전달한다면괄호생략 예제: test({doit()}) test doit() } it: lambda 식이 parameter 만 갖는다면 ->를 생략하 고 이름은 it 사용 SAM (Single Abstract Method) interface interfac에 method 개인 (많음) 예제에서는 onClick() button.setOnlickListener View! btn Button it as textView.text btn.text ) 21
34:21 ~ 34:23 -  들어오는 보셨죠? lambda expression
34:23 ~ 34:26 -  이거는 뭐냐면은 anonymous function 같은 거
34:26 ~ 34:30 -  이름이 붙어 있지 않은 그런 함수 구현만 되어 있는
34:30 ~ 34:35 -  그래서 람다식만 만약에 함수 인자로 전달한다면은
34:35 ~ 34:44 -  괄호를 생략 가능하다고 되어 있는데요 이런 식으로 테스트 괄호 열고 그 다음에 다시 또 그렇게 식이 들어간다 라고 했을 경우에는 이
34:40 ~ 35:00 - 식만 함수 인자로 전달한다면 괄호 생략 가능 T ->를 생략하 개인경우
34:44 ~ 34:49 -  괄호를 빼 가지고 이런 식으로 쓸 수 있다는 거죠
34:50 ~ 35:00 -  자 그 다음에 is 이라고 하는게 있는데요 람다 식에서 만약에 1개의 파라 파라미터 만 갖고 있다라고 그러면은 그거를 어 보통은 뭐 부위
35:00 ~ 35:05 -  그 다음에 마이너스 꺽수에 이렇게 해서 어떤 파라미터를 갖는지를 써줘야 되는데요
35:00 ~ 35:20 - 갖는다면I->를 생략하
35:05 ~ 35:12 -  만약에 하나만 있다 그러면 그걸 쓰지 않고 그냥 it이라고 그 블록 내에서 it이라고 써주면 된다는 얘기죠
35:12 ~ 35:23 -  자 여기에 보시면 이렇게 it이라고 하는 게 있고 콜론하고 view 해가지고 느낌표 이렇게 되어 있는데요 여기에 보시면 지금 이렇게 회색으로 되어 있는 것들은 제가 타이핑을 하는 것이 아닙니다.
35:20 ~ 35:40 - its
35:23 ~ 35:30 -  자동으로 아이디에서 안드로이드 스튜디오에서 이렇게 넣어 주는 거라고 보시면 되겠죠. 그래서 it이 있다고 알려주는 거죠.
35:30 ~ 35:36 -  자 그런 다음에 SEM, Single Abstract Method Interface 라고 하는 것이 있는데
35:36 ~ 35:41 -  인터페이스의 메소드가 딱 한 개인 경우, 근데 이런 경우가 굉장히 많습니다.
35:41 ~ 35:48 -  여러분이 인터페이스를 만들었는데 메소드를 여러 개 만들었지 않았을까? 이렇게 생각을 하는데 실제로 하나인 경우가 굉장히 많거든요.
35:48 ~ 35:52 -  그래서 이렇게 하나만 있을 때 이런걸 S SAM 인터페이스라고 부르는데
35:52 ~ 35:54 -  또는 Functional Interface라고 부르는데
35:54 ~ 35:56 -  이럴 때는 람다식으로 가능합니다.
35:56 ~ 35:58 -  원래는 어떻게 되냐면은
35:58 ~ 36:00 -  버튼의 set
36:00 ~ 36:04 -  onClickListener 한 다음에 여기다 오브젝트 만들어서
36:00 ~ 36:20 - :Button
36:04 ~ 36:09 -  onClickListener를 구현해 주고 그걸 넘겨 줘야 되는데 그냥 람다식으로 바로
36:09 ~ 36:13 -  넘겨 줄 수 있으니까 함수에 구현한 것을 인자로 넘겨줄 수 있으니까 굉장히
36:13 ~ 36:17 -  편하다고 보시면 되겠죠
36:18 ~ 36:23 -  람다식에는 이런 underbar 라고 하는 것을 사용할 수 있는데요
36:20 ~ 36:40 - 식에서의 (Underbar) 사용하지 않는 에는 이름을 부여하지 않고 붙여서 자리만 차지 listView.setOnItemClickL.istener adapterView, view, i,1-> listView.set:OnItemClickL.istener → i, -> Toast.makeText( context: this, mArray[i].name. Toast.LENGTH_SHORT).show() 리스트에서 Item Click에 대한 리스너를 식으로 구현 4개의 파라미터가 있지만 구현할 때는 3번째의 몇 번째 아이템 이 선택되었는지만 필요하여 나머지는 숫자에서 읽기 쉽게 자리 구분 22
36:23 ~ 36:26 -  만약에 우리가 필요가 없는 것, 원래는 이렇게 써야 되는 겁니다
36:26 ~ 36:30 -  예제를 보시면 setOnItemClickListener면
