00:00 ~ 00:14 -  안녕하세요. 웹프로그래밍 강의입니다.
24:00 ~ 24:05 -  그러니까 LAN하고 LAN을 연결하기 시작한 겁니다.
24:05 ~ 24:11 -  연구실이 떨어져 있으니까 위로 해서 천장을 해서 연구실하고 연구실을 연결하는 거예요.
24:11 ~ 24:17 -  Gateway 이런 것들, Repeater 이런 것들을 사용해서 연구실하고 연구실을 연결합니다.
24:17 ~ 24:22 -  그러니까 LAN하고 옆에 있는 연구실을 연결해서 쓰는거죠.
24:22 ~ 24:30 -  자료를 공유하기 위한건 아니고, 오로지 게임하기 위해서, 워크래프트 하기 위해서
24:30 ~ 24:35 -  뭐 어쨌든 다 연결하기 시작한 거예요 뭐 필요가 있었으니까 연결한 거죠 그래서
24:35 ~ 24:44 -  어 연구실 하고 연구실을 연결하게 되구요 그 다음에 학교 외부 하고는 모뎀으로 그러니까 학교끼리는 이제 전부 다
24:44 ~ 24:54 -  네트워크로 다 연결이 되었고 네트워크 하고 네트워크로 다 연결해 놨구요 학교 내부에서 그렇게 연결이 되는데 학교 외부는 학교에서 모뎀으로
24:54 ~ 24:57 -  바깥에 그렇게 연결하게 되는 거죠.
24:57 ~ 25:00 -  그때 속도가 아마 한 56Kbps
25:00 ~ 25:06 -  여기 b가 보면 여기 지금 이게 빛이 퍼세크죠. 그러니까 빛이죠. 빛이 소문자로 되어 있으면 빛입니다.
25:07 ~ 25:14 -  그래서 이게 만약에 요즘에는 이거를 간혹 가다가 다운로드 받을 때 이게 대문자 b가 이렇게 표시가 되는 경우가 있는데
25:14 ~ 25:20 -  대문자 b라고 하는 건 바이츠예요. 그러니까 여기 빛이라고 하는 건 8로 나눠줘야 된다는 거죠.
25:20 ~ 25:25 -  바이츠로 바꾸려면 굉장히 낮은 속도에 이런 걸 썼다는 거죠
25:25 ~ 25:30 -  그래도 슈퍼컴퓨터 같은데 계정 얻어내고
25:30 ~ 25:34 -  가지고 그런데 연결해서 쓰고 뭐 그렇게 썼었습니다
25:34 ~ 25:43 -  자 암튼 제가 느꼈었던 제가 실제로 경험했던 것은 이런식으로 흘러갔다 라는 거죠
25:43 ~ 25:49 -  자 그래서 인터넷이라고 하는 이제 단어가 나오게 되는데요
25:49 ~ 25:55 -  인터라고 하는 것 인터라고 하는 것은 뭐뭐간의 그런 뜻입니다
25:55 ~ 26:00 -  인터하고 넷을 나눠 본 거죠 그래서 넷이라고 하는 것은
26:01 ~ 26:05 -  인터라고 하는 건 뭐뭐 간이니까 네트워크 간에라는 뜻이 되겠죠.
26:06 ~ 26:13 -  예를 들면 인터네이셔널, 네이션이 국가니까 국가 간에, 국제적인 이런 뜻이 되는 거고요.
26:13 ~ 26:23 -  그 다음에 컨티넨트라고 하는 것이 대륙이니까 대륙간, 인터컨티넨틸, 발레스틱이 탄도, 그 다음에 미쓸이 미사일이니까 대륙간 인터컨티넨틀, 발레스틱이 탄도, 미쓸이 미사일이니까
26:23 ~ 26:30 -  대륙간 탄도미사일, ICBM이라고 이렇게 얘기를 하죠.
26:30 ~ 26:33 -  인터라고 하는 것은 뭐뭐 간에 그런 뜻인 거예요.
26:34 ~ 26:40 -  그래서 인터넷이라고 하는 것은 네트워크하고 네트워크를 연결한 거다라는 거죠.
26:42 ~ 26:45 -  인터넷, 인터넷 여러분들이 많이 들어보셨을 텐데
26:45 ~ 26:49 -  실제로 인터넷이라고 하는 것은 아까 제가 워크랩트 하려고
26:49 ~ 26:53 -  재밌게 사실은 여러분이 한번 그냥 피식 웃으시라고
26:53 ~ 26:56 -  게임하려고 연결했다고 말씀을 드리긴 했는데요.
26:57 ~ 27:00 -  어쨌든 그렇게 네트워크하고 네트워크를 연결하다 보니까
27:00 ~ 27:02 -  전 세계가 연결이 된 것
27:02 ~ 27:04 -  그거를 인터넷이라고 하더라
27:04 ~ 27:07 -  라고 여러분들이 생각하시면 되겠죠
27:07 ~ 27:09 -  자 그래서 이메일
27:09 ~ 27:12 -  인터넷으로 쓸 수 있는 것들은요
27:12 ~ 27:14 -  인터넷을 사용해 가지고 쓸 수 있는 것은
27:14 ~ 27:17 -  이메일이라든지 게임이라든지
27:17 ~ 27:19 -  그 다음에 월드와이드 웹
27:19 ~ 27:22 -  이런 것들을 인터넷을 통해서 쓸 수 있는 겁니다.
27:24 ~ 27:30 -  그래서 간혹 가다가 인터넷하고 월드와이드 웹하고 웹 이런 것들을
27:30 ~ 27:33 -  혼용해서 사용하는 경우가 있는데
27:33 ~ 27:36 -  엄밀히 얘기하자면 다르다는 거죠
27:36 ~ 27:39 -  인터넷이라고 하는
27:39 ~ 27:42 -  전세계가 연결된 게 인터넷인데
27:42 ~ 27:45 -  그거를 사용해서 그 위에서
27:45 ~ 27:48 -  월드와이드 웹을 사용할 수 있게 되는 거죠
27:48 ~ 27:52 -  자 그래서 일반적으로 혼동해서 사용합니다만 웹을 사용할 수 있게 되는 거죠. 자, 그래서 뭐 이런
27:52 ~ 27:55 -  뭐 근데 일반적으로는 그냥 혼동해서 사용합니다.
27:55 ~ 28:00 -  자, 그래서 이런 인터넷이 연결이 되더라도
28:00 ~ 28:06 -  보니까 전 세계가 연결이 되다 보니까 제가 몬스턴트 월드 뭐 이런거 하다보면
28:06 ~ 28:11 -  우리나라 사람 아닌 사람하고도 영어로 얘기해요 뭐 어떻게 뭐 하고 뭐
28:11 ~ 28:17 -  이러고 얘기하거든요 그러니까 이런 전세계 플레이어들하고 같이 게임할 수
28:17 ~ 28:23 -  있게 되는 거죠 그 다음에 몬스턴트월드도 하고 원신 이런 거 할 때도
28:23 ~ 28:27 -  전 세계에 있는 사람들하고 숨바꼭질하는 바람의 행방이라는 이벤트가 있는데
28:27 ~ 28:30 -  원신 자체도 원래 같이 할 수 있고요.
28:30 ~ 28:40 -  원시는 하다보면 자꾸 들어오려고 해요 내 월드로 그래서 처음에는 왜 그러나 그랬는데 도와주려고 들어오는 것 같더라구요
28:40 ~ 28:49 -  어쨌든 뭐 이런 것들이 그냥 막 들어올 수도 있는데 이 바람행방 이란 이벤트 굉장히 재미있어요 숨바꼭질 하는 건데다가
28:49 ~ 28:51 -  변해가지고 하는 건데
28:51 ~ 28:52 -  그런 것들이 있고요.
28:52 ~ 28:54 -  그 다음에 여러분들이 이런 건 별로 안 좋아하실 것 같고
28:54 ~ 28:58 -  여러분들이 좋아하시는 거는 뭐 LOL, 롤,
28:58 ~ 29:00 -  그 다음에 배틀그라운드 이런 것들이
29:00 ~ 29:03 -  저는 사실은 안해봐서 잘 모르겠어요.
29:03 ~ 29:07 -  근데 전세계 사람들하고 같이 게임할 수 있게 된거죠.
29:07 ~ 29:10 -  그것 때문에 인터넷이 있어서.
29:10 ~ 29:13 -  인터넷이 이런 것들 중에
29:13 ~ 29:18 -  어플리케이션, 인터넷을 사용하는 어플리케이션 중에
29:18 ~ 29:22 -  중요한 것이 게임이 있다는 것을 아시면 되겠고
29:22 ~ 29:27 -  그것처럼 게임처럼 인터넷을 사용하는 월드 와이드 앱이 있다는 거예요.
29:27 ~ 29:29 -  우리가 배울 것은 이거라는 거죠.
29:30 ~ 29:36 -  자 그래서 월드와이드 웹도 가장 많이 사용되는 것 중에 하나다
29:36 ~ 29:38 -  라고 알아두시면 되겠죠
29:38 ~ 29:42 -  자 그래서 월드와이드 웹이라고 하는 것을 설명하려고 하는데
29:42 ~ 29:45 -  웹이라고 하는 것이죠 웹. 웹이라고 하는 것은 망입니다 망
29:45 ~ 29:48 -  우리가 흔히 그냥 망 이렇게 번역하죠
29:48 ~ 29:51 -  웹이라고 하는 것은 거미줄망이나 그물망처럼
29:51 ~ 29:54 -  뭔가 이렇게 막 얽히고 설킨 것들이 있죠
29:54 ~ 29:57 -  뭐 이런 것들을 웹이라고 얘기를 하는데
29:57 ~ 30:00 -  여러분들 좀 오래된 것들
30:00 ~ 30:07 -  그 애니메이션 영화여 가지고 아실지 모르겠는데 샬롯 웹 이라고 하는게 있습니다 샬롯의 거미줄
30:07 ~ 30:13 -  그게 웹이라고 하는 것이 실제 이런 거미줄을 망을 얘기를 하고 있는 거다 라는 거구요
30:13 ~ 30:22 -  월드와이드다 라고 하는 것은 세계적이다 그런 뜻이죠 전 세계에 걸친 그런 뜻이죠 와이드는 넓다 넓이가 월드와이드다 전 세계에 걸친 그런 뜻이죠. wide는 넓다. 넓이가 world wide다.
30:22 ~ 30:25 -  전 세계처럼 넓은 것을 얘기하는 거죠.
30:25 ~ 30:27 -  그래서 nationwide라고 하는 것은
30:27 ~ 30:30 -  전국적인, 전 세계적인
30:30 ~ 30:41 -  그러니까 나라에서 유명한 플레이어, 전국에서 유명한 국가급의 플레이어
30:41 ~ 30:44 -  이렇게 얘기하는 것처럼 월드와이드다 라고 하는 것은
30:44 ~ 30:47 -  전 세계를 무대로 한다, 범위로 한다 라는 뜻이 되겠죠
30:47 ~ 30:51 -  그래서 월드와이드 웹이라고 하는 것은
30:51 ~ 30:58 -  전 세계 범위로 어디서든 접속할 수 있는 웹이다라는 것을 의미하는 거죠.
30:58 ~ 31:00 -  그래서 인터넷
31:00 ~ 31:07 -  월드와이드 웹을 엄격히 구별하지는 않고 흔히 혼용해서 사용하게 된다 라는 겁니다
31:07 ~ 31:18 -  근데 컴퓨터공학 전공 하시는 분이라면 조금 다르다고 했었는데 정도는 좀 기억을 해주시는게 어떨까 싶기도 한데
31:18 ~ 31:23 -  몰라서 상관없을 것 같구요 이런걸 설마 면접에서 물어보고 그러진 않을 것 같아요.
31:23 ~ 31:23 -  제 생각에는.
31:25 ~ 31:29 -  그 다음에 월드와이드 앱이라고 하는 것에 대한 역사를 보시고
31:30 ~ 31:45 -  1989년, 선이라고 하는 유럽 입자 물리연구소에서 효율적인 정보 공유를 목적으로 만들었다고 합니다.
31:45 ~ 31:54 -  그래서 1993년도 이후에 웹 브라우저들이 개발이 되면서 많이 폭발적으로 사용하게 됐다는 거죠
31:54 ~ 32:00 -  그래서 모자이크라든지 넷스케이프라든지 아니면 인터넷 익스플로러
32:00 ~ 32:07 -  사용이 되면서 나오게 되면서 많이 쓰게 됐다는 거죠
32:07 ~ 32:09 -  저 같은 경우도 처음에 모자이크도 써봤고요
32:09 ~ 32:13 -  그 다음에 네스케이프도 한동안 잘 썼었죠
32:13 ~ 32:16 -  물론 인터넷 그 뒤에 인터넷 익스플로러로
32:16 ~ 32:20 -  주로 대학원에서 이때 공부할 때이기 때문에
32:20 ~ 32:30 -  대학원에서 유닉스 기반으로 썼을 때는 모자이크나 네스케이브, 엑스윈도우 기반에 이런거 많이 썼었고 PC에서는 인터넷 익스플로러 많이 썼었죠.
32:30 ~ 32:33 -  우리가 강의에서 사용할 것은요.
32:33 ~ 32:36 -  엣지 웹브라우저를 사용하게 될 겁니다.
32:36 ~ 32:42 -  마이크로소프트 윈도우즈를 설치하게 되면
32:42 ~ 32:46 -  자동으로 엣지가 깔리게 되죠.
32:46 ~ 32:51 -  엣지 웹브라우저라고 하는 것은 크로미ium 엔진을 사용하게 되는데
32:51 ~ 33:00 -  Chrome하고 Google Chrome하고 동일한 엔진 기반으로 되어 있죠.
33:00 ~ 33:11 -  크롬을 썼었는데 크롬 쓰다가 보니까 인터넷 익스플로러는 정말 너무 안좋았죠. 그러다 보니까 크롬을 썼는데 크롬이 좀 많이 무거워졌죠.
33:11 ~ 33:18 -  후 서비스 이런 것 때문에 많이 무거워져 가지고 엣지가 오히려 좀 쓰기가 가볍고 좋다고 해가지고
33:18 ~ 33:24 -  엣지를 쓰다 보니까 뭐 거의 뭐 비슷한 것 같아요. 같은 엔진 기반이어서 그런지.
33:24 ~ 33:30 -  그래서 엣지를 많이 사용하고 있고 강의에서도 엣지를 사용할 엔진형입니다.
33:30 ~ 33:39 -  그 다음에는 이런 식으로 웹브라우저를 써 가지고 이런 월드와이드웹을 많이 사용하게 됐는데
33:39 ~ 33:46 -  그러다 보니까 월드와이드웹 컨소시엄이라고 하는 그래서 여기 www 우리가 따따따라고 부르죠
33:46 ~ 33:51 -  원래는 따블 따블 따따따 발음하기 편하니까 떳떳떳 그럼 이상하니까 따따따 발음하기 편하니까
33:51 ~ 33:53 -  떳떳떳 그럼 이상하니까
33:53 ~ 33:55 -  따따따가 편하긴 하니까 아니라 따따따라고 하는데
33:55 ~ 34:00 -  원래는 따블은 아니고 더블이겠죠.
34:00 ~ 34:05 -  그리고 이것도 W가 아니고 WV 아니에요? 자세히 보면.
34:05 ~ 34:07 -  옛날에 이걸 이렇게 동그랗게 썼었나요?
34:07 ~ 34:14 -  아무튼 W3C라고 하는 거. 그래서 WW가 되겠죠. 저도 자꾸 W라고 하는데.
34:14 ~ 34:23 -  자, 어쨌든 W, W3C라고 하는 거. 여기 W가 3개 있다. 그래서 W 3개짜�리 있고 그 다음에 컨소시엄 해가지고
34:23 ~ 34:30 -  이렇게 W3C 컨소시엄이라고 하는 곳에서 웹 표준을 개발했다라는 거예요.
34:30 ~ 34:36 -  그래서 HTML 표준화를 담당하는 컨소시엄이 W3C다 라는 겁니다.
34:36 ~ 34:39 -  그래서 여러분들이 간혹 들으시게 될 거에요.
34:39 ~ 34:46 -  컨소시엄이라고 하는 것은 직장 다니시고 이런 사회 경험이 있으신 분들은 많이 들어보셨을 거라고 생각이 되는데
34:46 ~ 35:00 -  예를 들면 어디 정부 과제가 떴는데 그거 수주하기 위해서 컨소시엄을 구성해서 들어간다 이런 식으로 표현을 하거든요. 그래서 컨소시엄이라고 하는 것은 공동 목표를 공동
35:00 ~ 35:01 -  목표로 하나가 있다고 하면
35:01 ~ 35:02 -  그걸 성취하기 위해 가지고
35:02 ~ 35:04 -  달성하기 위해 가지고
35:04 ~ 35:05 -  여러 조직이 그러니까
35:05 ~ 35:07 -  같은 목표를 갖고 있는 거죠.
35:07 ~ 35:08 -  그래서 같은 목표를
35:08 ~ 35:10 -  성취하기 위해 가지고
35:10 ~ 35:12 -  여러 조직들이 힘을 합쳐가지고
35:12 ~ 35:13 -  만든 연합체 같은 거를
35:13 ~ 35:15 -  컨소시엄이라고 그렇게 부르게 됩니다.
35:18 ~ 35:20 -  자 그래서 그런 W3C에서
35:20 ~ 35:23 -  만든 HTML이라고 하는
35:23 ~ 35:26 -  Hypertext Markup Language라고 하는
35:26 ~ 35:30 -  이런 HTML을 내놓게 되는데요
35:30 ~ 35:36 -  하나씩 뜯어서 보려고 하는 겁니다. 맨 앞에 하이퍼가 있죠. 하이퍼. 그래서 하이퍼라고 하는 것을 보면은요.
35:36 ~ 35:43 -  하이퍼, 슈퍼, 울트라 이런 것들은 전부 다 같은 뜻인데 뭔가 이렇게 뛰어나다는 뜻입니다. 그러니까 뭔가를 벗어나는 것.
35:53 ~ 35:56 -  정상범주를 벗어나가지고 우수한 것. 이런 것들을 슈퍼, 울트라, 하이퍼 이렇게 얘기를 하죠. 그래서 우리가 Superman이라고 얘기를 하면은 Superman은 일반 사람들보다 힘도 세고 막 그러죠.
35:56 ~ 36:00 -  그래서 영어로 발음할 때는 슈퍼 아니고 수퍼.
36:00 ~ 36:03 -  우리가 보통 슈퍼맨 이라고 쓰는데
36:03 ~ 36:06 -  수퍼발음이 맞겠죠
36:06 ~ 36:09 -  그 다음에 슈퍼마켓 이라고 하는 거
36:09 ~ 36:12 -  이것도 슈퍼마켓 이라고 읽는데
36:12 ~ 36:14 -  슈퍼마켓 이라고 읽어야 될 거고요
36:14 ~ 36:17 -  그 다음에 슈퍼마켓 그러면 걔네들이 좀
36:17 ~ 36:19 -  잘 모르는 경우도 있는 것 같더라고요
36:19 ~ 36:23 -  그러니까 그로서리 스토어 정도로 여러분들이 외국 나가서
36:23 ~ 36:26 -  우리가 그냥 동네에 있는 조그만 것들이 다 슈퍼마켓이라고 부르잖아요.
36:26 ~ 36:30 -  근데 슈퍼마켓이라고 하지 마시고 그냥 그로서리
36:30 ~ 36:37 -  스토어 어딨냐고 물어보시면 우리가 생각하는 그런 가게를 알려줄 거라고 생각이 됩니다
36:37 ~ 36:46 -  그 다음에 울트라맨 이라고 하는 거 이렇게 숟가락 두개 눈에 다 붙인 거 있죠 그 울트라맨 이라고 하는 거 이럴 때도 일반적인 사람들보다 뛰어나서
36:46 ~ 36:51 -  울트라맨 이라고 그렇게 얘기하고요 그 다음에 울트라바이올렛이라고 하는 거
36:51 ~ 36:53 -  UV라고 우리가 흔히 얘기하죠
36:53 ~ 36:56 -  그래서 그 빛의 스펙트럼 우리가 가시광선을 보면
36:56 ~ 37:00 -  눈에 보이는 광선들이 빨주노초파남보순
37:00 ~ 37:04 -  이게 파장이 제일 길고 이게 파장이 제일 짧은데
37:04 ~ 37:07 -  이거보다 이 파장보다 더 길면 눈에 안 보이고
37:07 ~ 37:11 -  우리 눈이 인식을 못하고 이 보라색보다도
37:11 ~ 37:14 -  더 짧으면 파장이 짧으면 우리가 또 인식을 못하죠
37:14 ~ 37:18 -  그래서 눈에 보이지 않는 가시광선의 범주를 벗어나는
37:18 ~ 37:21 -  보라색보다도 파장이 짧은 자외선, 요거 보라색 밖에 있다 라고
37:21 ~ 37:25 -  요거보다 더 뛰어나다, 뛰어나다기보다 이거 밖에 있다라는 의미로
37:25 ~ 37:30 -  Ultraviolet, 그래서 UV라고 그렇게 얘기합니다.
37:30 ~ 37:37 -  이 빨간 거에 이 바깥에 있는 것은 울트라레드라고 얘기하지는 않고요.
37:38 ~ 37:40 -  참고로 인프라레드라고 합니다.
37:41 ~ 37:45 -  인프라레드, 여기 안쪽에 따라서 인프라레드라고 얘기를 합니다.
37:45 ~ 37:47 -  그래서 IR이라고 얘기하죠.
37:48 ~ 37:51 -  그 다음에 하이퍼� 다음에 Hyperplane이라고 하는 거.
37:51 ~ 37:54 -  머신러닝 같은 거 여러분들 공부할 때 들어보셨나요?
37:54 ~ 37:57 -  Hyperplane. Hyperplane이라고 하는 것을
37:57 ~ 38:00 -  심의 plane이라고 하는 것이
38:00 ~ 38:07 -  평면을 얘기하는 거죠. 그래서 일반적인 평면이라고 하는 거 우리가 3차원 공간에서
38:07 ~ 38:18 -  2차원 평면을 보통 이렇게 생각을 하게 되는데, 예를 들면 100차원이 있다. 그러면 99차원 짜리 평면이 있게 되는
38:18 ~ 38:23 -  이런 것들을 얘기하는 거죠. 그래서 공간을 어떤 n 차원상에서
38:23 ~ 38:25 -  공간이 있다고 했을 때
38:25 ~ 38:28 -  걔를 반으로 나눌 수 있는 거 이런 거죠.
38:28 ~ 38:29 -  예를 들면 클래시피케이션 같은 거
38:30 ~ 38:35 -  할 때 어떤 선을 이렇게 딱 그어 가지고 이 위로는
38:35 ~ 38:44 -  예를 들면 고양이고 이 밑으로는 강아지고 이렇게 하는데 이게 뭐 두 가지 요소만 가지고 결정이 되는 것이 아니고
38:44 ~ 38:53 -  이 공간 자체가 n 차원이 될 수 있겠죠. 차원이 막 숫자가 2차원, 3차원, 4차원, 5차원, 6차원, 7차원 해가지고
38:53 ~ 38:56 -  뭐 1000차원 이렇게 될 수도 있겠죠
38:56 ~ 39:00 -  그러다 보니까 그거를 뭔가 나누기 위해서는
39:00 ~ 39:06 -  우리가 생각하는 3차원 공간에서 2차원 평면 가지고는 안되니까
39:06 ~ 39:12 -  일반적인 의미로 이렇게 초평면이라고 하는 하이퍼 플레인이라고 하는 것을 사용하게 되는데
39:12 ~ 39:15 -  그때도 하이퍼라는 것을 쓴다는 거죠
39:15 ~ 39:23 -  그래서 그런 하이퍼 텍스트라고 하는 것은 텍스트보다 뛰어난 능력을 가진 것을 하이퍼텍스트라고 얘기하게 되는 겁니다.
39:24 ~ 39:27 -  정확한 비유는 아니지만 이런 예제도 많이 드는데요.
39:27 ~ 39:29 -  보통 사람들이 설명할 때, 하이퍼텍스트 설명할 때
39:30 ~ 39:37 -  그냥 텍스트는 메모장, 하이퍼텍스트는 hwp, 물론 똑같은 정확한 의미는 아닙니다.
39:38 ~ 39:41 -  그런데 일반적인 메모장에서 할 수 있는 것하고
39:41 ~ 39:45 -  hwp나 아니면 워드 같은 것 또는 파워포인트 같은
39:45 ~ 39:50 -  이런 것을 썼을 때 할 수 있는 표현 능력이나 이런 것들이 확연히 차이가 나겠죠.
39:51 ~ 39:56 -  그래서 하이퍼텍스트라고 하는 것은 이미지라든지 다른 문서의 링크
39:56 ~ 40:00 -  이런 것들을 그 다음에 폰트라든지 이런 걸 표현할
40:00 ~ 40:07 -  가지고 포함해서 표현할 수 있는 그래서 더 뛰어난 일반 텍스트에서 하지 못하는 것을 할 수 있다는 의미로
40:07 ~ 40:16 -  하이퍼 텍스트 라고 그렇게 얘기를 한다 라는 거죠 자 그 다음에 이제 마커 이라고 하는 게 있는데 이건 뭔가 마킹 한다는
40:16 ~ 40:23 -  얘기인데요 어 원래 내용의 뭔가를 추가하는 게 아닙니다 그래서 우리가 이 문제 정말 중요해 하고 별표 땡냐 뭐 이런거 있죠?
40:23 ~ 40:30 -  그래서 중요하다고 별표를 그리거나 아니면 이거는 내가 좀 기억하고 싶은데
40:30 ~ 40:35 -  중요한 문장 같은 거 형광펜으로 칠해 놓는 거 이런 것들이 마킹을 한다라고 얘기를 하게 되는 거죠
40:35 ~ 40:42 -  빨간펜 선생님 같은 거 빨간펜으로 수정, 요건 이렇게 바꿔야 돼 라고 쓴다든지
40:42 ~ 40:46 -  뭐 이런 것들이 전부 다 마킹 마크업이 된다라고 보시면 되겠고요
40:46 ~ 40:50 -  그래서 language라고 하는 거 나머지 하나 여기까지 설명이 됐고
40:50 ~ 40:51 -  language라고 하는 건 언어죠.
40:51 ~ 41:00 -  언어는 내 머릿속에 있는 개념, 지금 제가 HTTP에 대해서 설명을 강의를 하고 있는데, 웹 프로그래밍에 대해서
41:00 ~ 41:02 -  강의를 하고 있는데 제가 머릿속에 있는 거
41:02 ~ 41:04 -  이거를 여러분들 머릿속에 넣기 위해 가지고
41:04 ~ 41:08 -  전달하기 위해 가지고 지금 언어를 사용을 해 가지고
41:08 ~ 41:12 -  한국어를 사용을 해 가지고 이런 얘기를 하고 있는 거죠
41:12 ~ 41:18 -  그래서 앞장을 종합을 해보면
41:18 ~ 41:30 -  HTML이라고 하는 것은 텍스트보다 풍부한 내용을 표현할 수 있으면서 원래의 내용에 추가해 가지고 부가적인 정보를 마케팅시켜서
41:30 ~ 41:35 -  해 줄 수 있는 그런 언어다 라고 보시면 되겠죠
41:35 ~ 41:43 -  자 지금은 우리가 어 매일매일 html 쓰고 있죠 뭐 하루라도 html을
41:43 ~ 41:47 -  안 쓰는 날이 있을까요 여러분들 뭐 웹브라우저 안 쓰는 날이 하루라도
41:47 ~ 41:54 -  있으세요 거의 없을 것 같은데요 그래서 매일매일 우리가 사용을 하고 있는데요.
41:54 ~ 42:00 -  1989년도의 상황을, 이게 나왔던 1989년도의 상황을 보면요.
42:00 ~ 42:08 -  일반 텍스트보다는 뭔가 풍부한 내용을 포함해 가지고 정보 전달을 좀 효율적으로 할 수 있는 방법이 필요했겠죠
42:08 ~ 42:14 -  근데 그때 나와 있던 방법이 gml 이라고 하는게 있었는데요 1960년이니까 굉장히 오래됐죠
42:14 ~ 42:24 -  그래서 Generalized Markup Language 라고 하는 것이 있었는데 이거를 표준화 해해 가지고 sgml이라고 하는 것을 만들었어요.
42:24 ~ 42:30 -  표준화해서. 근데 이것도 너무 방대하고 복잡해 가지고, 이거를 제대로
42:30 ~ 42:34 -  보여줄 수 있는 그런 뭐 브라우저 라든지 이런게 없는 상황인 거죠 그래서
42:34 ~ 42:41 -  개발된 게 이런 html 을 개발을 했고 이게 아주 그냥 대박이 난 거죠
42:41 ~ 42:48 -  자 그래서 sgml 이라고 하는게 너무 복잡했기 때문에 어 이거를 만든 게 html
42:48 ~ 42:52 -  이거를 좀 간략해서 만든 것이 필요한 부분만 띄어갖고 만든 게 HTML이고요.
42:52 ~ 42:57 -  SGML 자체를 뭔가 좀 단순화하고 싶었던 노력이 있었습니다.
42:57 ~ 43:00 -  그래서 이건 참고로라고 붙여놨는데요.
43:00 ~ 43:07 -  html 에 대한 얘기는 아닙니다. 이거는 sgm 을 좀 단순하면서도
43:07 ~ 43:18 -  머신 리더블, 그러니까 기계가 읽을 수 있구요. 동시에 사람도 읽을 수 있게 휴먼 리더블하게 w3c 에서 만든 것이 xml 이라고 하는 것이 있습니다.
43:18 ~ 43:23 -  Extensible Markup Language. 우리는 여기 Hypothetxt Markup Language 인데
43:23 ~ 43:26 -  그 Hypothetxt 대신에 Extensible 이라고 하는 것이 들어갔죠.
43:26 ~ 43:30 -  확장 가능한 그런 뜻이 들어갔습니다. 그래서
43:30 ~ 43:39 -  어 이 태그 라고 하는 것들이 나오게 되는데 그 태그들을 사용자가 정의할 수 있도록 한거다 라고 보시면 되겠습니다
43:39 ~ 43:49 -  자 우리 강의에서는 벗어나는 거구요 그래서 이 xml 이라고 하는게 요즘에 사용되는 것은 주로 그 레이아 구성할 때 유저인터페이스 레이아 구성할 때
43:49 ~ 43:56 -  많이 사용이 되고 처음에 만들어졌을 때는 인터넷에서 데이터 주고받을 때도 많이 사용이 됐었는데
43:56 ~ 44:00 -  요즘에는 제이슨한테 좀 그 자리를 물려준 것 같아요.
44:01 ~ 44:06 -  HTML은 데이터하고 눈에 보이는 것을 같이 다 포함하고 있는데
44:07 ~ 44:10 -  XML은 눈에 보이는 것이 다 빠져 있어요.
44:11 ~ 44:16 -  그냥 실제로 데이터하고 구조만 들어가 있는 것이라고 보시면 되겠습니다.
44:18 ~ 44:20 -  네트워크 동작 구조.
44:22 ~ 44:30 -  네트워크 과목에서 아마 TCPIP라든지 ISO의 7 레이어 이런 것들 여러분들 자세하게 배우실 겁니다.
44:30 ~ 44:31 -  넘어가도록 하고요.
44:32 ~ 44:34 -  모르셔도 상관이 없습니다. 강의를 들으시는 데는.
44:35 ~ 44:38 -  다만 프로토콜이라고 아까 말씀드렸던 거 있죠?
44:38 ~ 44:42 -  그래서 통신을 위해서 서로 정해놓은 약속이나 규약을
44:42 ~ 44:46 -  프로토콜이라고 한다. 이 단어에는 조금 익숙해지실 필요는 있습니다.
44:47 ~ 44:49 -  어렵게 생각하실 필요 없고요.
44:49 ~ 44:59 -  전화할 때 여보세요 하면은 여보세요. 김과장님 저 신이사입니다. 지금 통화 가능하신가요? 아예 말씀하시죠. 지난번 협약식 때는 감사했습니다.
45:00 ~ 45:04 -  이렇게 뭔가 여보세요 하면 저쪽에서도 여보세요 하고
45:04 ~ 45:07 -  누구세요 하면 여기서 누굽니다 이렇게 얘기하고
45:07 ~ 45:10 -  이런 어떤 규약 같은 것이 있죠
45:10 ~ 45:12 -  이런 것들을 얘기를 하고 있는 거죠
45:12 ~ 45:16 -  그래서 이게 통신 패킷으로 정의한다는 거죠
45:16 ~ 45:19 -  이거는 제가 그냥 웃자고 적어놓은 건데
45:19 ~ 45:21 -  요즘에는 어떤가요?
45:21 ~ 45:26 -  전화번호 딱 하면은 뜨죠 아예 거기에 누군지
45:26 ~ 45:27 -  어떤 사람 이름이 뜨죠
45:27 ~ 45:30 -  누군지 알고 받는 거죠
45:30 ~ 45:34 -  고기 참치 안 드시는 신이사님 잘 지내시죠?
45:34 ~ 45:40 -  제가 실제로 이렇게 고기 참치 안 드시는 누구누구 이렇게 써 놓은 분이 있거든요.
45:40 ~ 45:44 -  그러면 전화를 딱 받으면 그 분 옆에 고기 참치 안 드시면 이게 떠요.
45:44 ~ 45:47 -  그러면 이렇게 얘기하죠.
45:47 ~ 45:51 -  그러면 이분이 저는 하도 그러셔서 참치는 먹기로 했어요.
45:51 ~ 45:54 -  이런 거 하시면서 웃으면서 그렇게 얘기하고
45:54 ~ 46:00 -  요즘에는 이 프로토콜도 변했다는 거죠.
46:00 ~ 46:09 -  전화할 때 우짜고 제가 쓴 거구요 실제로는 그 통신 패킷을 정의를 해가지고 패킷이라고 하는 것은 데이터를 주고받을 때 어떻게
