00:00 ~ 00:26 -  안녕하세요 안녕하세요. 웹프로그래밍 강의입니다.
24:00 ~ 24:06 -  중심이 뭐냐면 눈에 보이는 것하고 그 다음에 데이터, 비즈니스 로직
24:06 ~ 24:12 -  이거를 철저하게 분리하자라는 것이 주된 내용이다라는 거죠.
24:13 ~ 24:19 -  이거는 HTML이기 때문에 데이터하고 그 다음에 표현하는 비즈니스 로직이
24:19 ~ 24:22 -  물론 자바스크립트 같은 걸로 넣을 수 있긴 하지만요.
24:22 ~ 24:27 -  어쨌든 데이터하고 이 표현을 분리하는 추세가 있다는 거죠.
24:27 ~ 24:30 -  그래서 HTML에다가는
24:30 ~ 24:35 -  데이터만 저장하자 라는 것이 결론이 되는 겁니다
24:35 ~ 24:38 -  그러면 눈에 보이는 건 어디에 저장하느냐
24:38 ~ 24:43 -  CSS라고 하는 Cascading Style Sheet에 저장하자라는 거죠
24:43 ~ 24:46 -  그래서 이 부분이 핵심이 되는 겁니다
24:46 ~ 24:50 -  그러니까 HTML에다가 원래는 이게 화면에 잘 출력하고
24:50 ~ 24:53 -  이런 목적으로 나온 것이 맞지만
24:53 ~ 25:00 -  뭔가 화면에 출력하는 부분은 가능하면 HTML에다가 저장하지 말고 폰트라든지 이런거는
25:00 ~ 25:05 -  html 파일에 저장하지 말고 그 스타일에다가 저장을 해라 라는 거죠.
25:05 ~ 25:10 -  여기에 그 캐스케이드 라고 하는 것은 뭔가 이렇게 연속으로 쫓아가는 거 이런
25:10 ~ 25:14 -  것을 얘기하는 거거든요. 그래서 뭔가 스타일이 있다라고 하면
25:14 ~ 25:20 -  그거에 맞춰 갖고 다른 것을 적용하는 이런 거라고 생각하시면 되겠습니다.
25:20 ~ 25:24 -  그래서 그 캐스케이딩, 뭔가 쫓아가는 그런 게 있고
25:24 ~ 25:30 -  스타일, 스타일에 대한 어떤 스타일들을 기술해 놓은 시트가 있는 거죠.
25:30 ~ 25:40 -  데이터 시트 처럼 그래서 그런 스타일 cc 있는데 그거에 맞춰 가지고 그거에 따라 가지고 스타일을 적용하는 거다 라고 보시면 되겠습니다
25:41 ~ 25:52 -  자 그래서 우리가 어 지난 시간에 그 구름 id 스택을 만들 때 html 그 다음에 css js 이런 스택을 우리가 선택을 했었는데
25:52 ~ 25:59 -  그때 HTML하고 CSS가 이거에 해당한다는 걸 보시면 되겠죠.
26:00 ~ 26:04 -  자 그 다음에 이제 하나 남은 거죠
26:04 ~ 26:07 -  그러니까 HTML, CSS 그 다음에는
26:07 ~ 26:09 -  자바스크립트가 되겠죠
26:09 ~ 26:12 -  그래서 어떤 이 클라이언트 사이드에서
26:12 ~ 26:15 -  그러니까 클라이언트 사이드라고 하는 것은 웹브라우저입니다
26:15 ~ 26:19 -  그래서 웹브라우저에서 뭔가 스크립트를 처리할 수 있는 능력들
26:19 ~ 26:22 -  그런 것들이 필요하게 됐다는 거죠.
26:23 ~ 26:30 -  그걸 설명하기 위해서 스태틱과 다이내믹, 정적인 거하고 동적인
26:30 ~ 26:34 -  것을 설명을 하고 있는데요 정적인 거다 라는 것을 한번 정해지면
26:34 ~ 26:40 -  변경되지 않는 것을 정적이다 스태틱하다 그렇게 얘기합니다
26:41 ~ 26:45 -  다이내믹 하다라는 건 뭐냐면요 뭔가 정해진 게 있더라도 상황에 따라서
26:45 ~ 26:51 -  계속 유연하게 변경되는 것 그런거를�� 동적이다라고 하는 거죠.
26:51 ~ 26:54 -  얘는 변하지 않는 거 얘는 변하는 거 이렇게 생각하셔도 됩니다.
26:55 ~ 27:00 -  자, 예제 한번 볼까요? 정적이다라는 거는 휴일에 어디
27:00 ~ 27:03 -  놀이동산에 놀러 가려고 해요. 테마파크에 놀러 가려고 해요.
27:03 ~ 27:07 -  그래서 요즘에 이렇게 하시는 분들은 없으실 거라고 생각이 되는데
27:07 ~ 27:11 -  옛날에는 지도를 보고서는 지도 책이 있었어요.
27:12 ~ 27:14 -  전국 지도가 나와 있는 그런 책이 있었습니다.
27:14 ~ 27:18 -  그래서 보험 가입하면 그런 거 주기도 하고 그랬었는데
27:18 ~ 27:23 -  어쨌든 그런 지도를 보고 여기서 몇 번 국도를 타고 간 다음에
27:23 ~ 27:28 -  여기서 어디서 어떤 사거리가 나오면 거기서 우회전을 해야 되고
27:28 ~ 27:30 -  이런 거를 막 미리
27:30 ~ 27:34 -  책을 보고 갔던 적이 있다는 거죠. 내비게이션이 개발되기 전에는.
27:35 ~ 27:40 -  그런 식으로 해서 지도를 보고 길을 정한 뒤에 내가 가는 건 그 길밖에 모르니까
27:40 ~ 27:47 -  그 길을 따라서 막히던 말던 그 길로 계속 운전해서 목적지에 도착하게 되는
27:47 ~ 27:54 -  그런 것이 정적인 거다라는 거죠. 정적인 라우팅을 한번 해놨다 그러면 그냥 그 길을 계속 따라가는 거죠.
27:54 ~ 28:00 -  반면에 다이내믹하다는 것은 내비게이션을 따라서 운전을 하는 거죠.
28:00 ~ 28:05 -  오비게이션이라는 게 가다가 보면은 뭐 교통 상황을 반영하여 경로를 재설정합니다.
28:05 ~ 28:10 -  이렇게 나오잖아요. 그런 것들이 다이내믹한 거다 라고 보시면 되겠죠.
28:10 ~ 28:18 -  자 그래서 스태틱 웹페이지라고 하는 것은 서버에서 뭔가 html을 받아 가지고 렌더링을 했다 라고 하면은
28:18 ~ 28:20 -  그게 변하지 않는 거 그거를 스태틱
28:25 ~ 28:28 -  약간 좀 다른 의미가 있긴 한데 어쨌든 그냥 이렇게 생각하십시오. 일단은 그래서 그걸 스태틱 웹페이지라고 보시면 되겠고요.
28:28 ~ 28:30 -  그다음에 다이내믹
28:30 ~ 28:35 -  웹페이지 라고 하는 것은 서버에서 html 랜더링 해가지고 화면에 출력을
28:35 ~ 28:41 -  했어요 근데 여기서 뭔가 사용자가 뭐를 이벤트를 발생시켰다 던가 아니면
28:41 ~ 28:46 -  어 뭐 그 리프레쉬 버튼을 눌러 가지고 서버에서 지금 게시판에 새로운
28:46 ~ 28:51 -  게시물이 올라온 게 있는지 이런 거를 가지고 온다 라고 하면은
28:51 ~ 28:54 -  그런 것들은 다이내믹 웹페이지라고 그렇게 부를 수 있겠죠.
28:56 ~ 28:59 -  뭐 이것뿐만이 아니고 일단
29:00 ~ 29:03 -  꼭 데이터베이스나 이런 걸 가지고 오는 게 아니더라도
29:03 ~ 29:06 -  뭔가 현재 받아온 페이지에서
29:06 ~ 29:07 -  뭐를 눌렀더니
29:07 ~ 29:10 -  예를 들면 뭔가 휙 작아지고
29:10 ~ 29:12 -  그림이 휙 작아지고
29:12 ~ 29:14 -  이런 거 여러분들 보신 적 있나요?
29:14 ~ 29:17 -  예를 들면 커버를 호버링이라고 하는데
29:17 ~ 29:20 -  커버를 그림 위로 딱 가져가게 되면
29:20 ~ 29:21 -  그림이 조금 더 커진다든지 조금 더 작아진다든지 이런 거 색깔을 이라고 하는데 커서 그림 위로 딱 가져가게 되면
29:23 ~ 29:24 -  그림이 조금 더 커진다든지 꽃 조금 더 작아진다든지
29:27 ~ 29:30 -  이런 거 색깔이 더 진해진다든지 이런 거 보신 적 있나요? 흐려진다든지 이런 것들 그런 것들도
29:30 ~ 29:37 -  전부 다 기존에 받은 HTML에서 뭔가 사용자의 마우스가 움직임에 따라서
29:37 ~ 29:40 -  그거에 대한 어떤 동적인 처리를 해주게 되는 거죠.
29:41 ~ 29:43 -  웹브라우저에서 그런 처리를 해주게 되는 거죠.
29:43 ~ 29:47 -  그래서 그런 거를 할 때 자바스크립트가 사용이 된다.
29:47 ~ 29:49 -  그렇게 여러분들이 생각을 하시면 되겠습니다.
29:51 ~ 29:54 -  그 다음에 저희가 HTML에서 좀 고려해야 되는 것이 뭐가 있냐면
29:54 ~ 29:57 -  SEO라고 하는 건데요.
29:57 ~ 30:00 -  Search Engine Optimization
30:00 ~ 30:01 -  이라고 하는 겁니다.
30:01 ~ 30:04 -  그러니까 서치엔진 최적화라고 하는 건데요.
30:06 ~ 30:06 -  목표가 뭐냐.
30:07 ~ 30:09 -  우리가 어떤 웹페이지를 만들었어요.
30:10 ~ 30:17 -  그럼 웹페이지의 목표가 물론 이제 내가 했던 거 내가 까먹을까 봐
30:17 ~ 30:22 -  저장을 해놓는다든지 이런 것들도 있겠지만 기왕이면 내가 만들어서 배포한 문서가
30:22 ~ 30:26 -  퍼블리쉬한 문서가 발행한 문서가
30:26 ~ 30:30 -  다른 사람들이 많이 본다면 좋겠죠. 그래서 검색엔
30:30 ~ 30:33 -  엔진에 상위 랭크된다면 굉장히 좋을 겁니다.
30:33 ~ 30:38 -  그래서 그런 거를 위해서는 뭔가 최적화가 필요하다는 거죠.
30:38 ~ 30:45 -  그래서 여기에 보시면 구글에 보면 어떤 식으로 스타트 가이드가 있으니까요.
30:45 ~ 30:55 -  혹시 이런 검색 엔진에서 상위 내 블로그 기사가 내가 쓴 블로그 포스트가 좀 상위된
30:55 ~ 31:00 -  그때 쓰면 좋겠다 이러신 분들은 이런 가이드를 좀 보시는 거를
31:00 ~ 31:02 -  권장을 드리겠습니다
31:03 ~ 31:12 -  자 그래서 그런 그 방법들에 대해서 몇 가지 설명을 드리려고 하는데요 제일 처음에 말씀드리려고 하는 것은 타이틀입니다
31:12 ~ 31:23 -  이 타이틀이라고 하는 것을 그 html 태그에서 가지고 있게 되는데요 이 타이틀이라고 하는 것은 어떤 그�페이지의 제목이 되니까 굉장히 중요한 게 되겠죠.
31:23 ~ 31:30 -  그래서 웹페이지에서 뭘 설명하고 있는지 거기에 어떤 내용을
31:30 ~ 31:35 -  담고 있는지를 정확하게 기술하는 것이 굉장히 중요할 거라고 생각이 됩니다.
31:36 ~ 31:38 -  그 다음에는 메타태그들인데요.
31:39 ~ 31:43 -  메타태그에 보시면 메타데이터죠.
31:43 ~ 31:47 -  메타데이터라고 하는 것은 데이터에 대한 데이터라고 보시면 되는데
31:47 ~ 32:00 -  예를 들어서 여러분들이 어디 가서 사진을 찍었다고 하면 사진을 몇 시에 찍었는지 그 다음에 언제 찍었는지 그리고 어디서 찍었는지 그리고 이걸 노출은 얼마나 했는지
32:00 ~ 32:04 -  노출값은 어떻게 되는지, 초점거리는 어떻게 되는지 이런 것들이 있겠죠.
32:04 ~ 32:15 -  광각으로 찍었느냐 이런 것들이 포함이 될 건데 그런 실제 데이터는 사진이지만, 사진 이미지지만 그 사진에 대한 데이터들 있죠.
32:15 ~ 32:23 -  그런거를 메타 데이터라고 이렇게 이야기하게 됩니다. 여기서도 그 메타데이터를 정의하는게 이렇게 쓰는 건데요.
32:23 ~ 32:25 -  거기에 보시면 메타데이터 중에 보시면
32:25 ~ 32:28 -  description이라고 하는게 있는데
32:28 ~ 32:30 -  이 description이라고 하는 것은
32:30 ~ 32:35 -  그 컨텍스트가 아니고 컨텐츠 인데요
32:35 ~ 32:46 -  자 오타가 있어서 바로 잡았습니다. 그래서 이 description에 대한 내용으로 이렇게 써 주게 되는 거죠. 그래서 이 부분이 굉장히 중요하게 된다 라는 겁니다.
32:46 ~ 32:53 -  검색엔진에서 이 부분을 굉장히 중요하게 생각을 한다는 것. 여기에 들어가 있는 내용을 굉장히 중요하게 생각하니까
32:53 ~ 32:56 -  이 두 가지 여기에다가 뭐 쓸데없는 거,
32:56 ~ 33:00 -  뭐를 자동으로 생성된 텍스트입니다. 이런 거 쓰면
33:00 ~ 33:06 -  안된다는 거죠 자 얘는 너무 길면 은 80자 까지만 인식을 하고 어떤 시스템에서는 뭐
33:06 ~ 33:16 -  160자 이렇게 하는게 있는데 어쨌든 80자 까지 하는 시스템들이 있으니까 가능하면 80자 이내로 설명을 하는게 좋을 거구요
33:16 ~ 33:24 -  이런게 있습니다 그 키워드 라고 하는게 있어요 그래서 그래서 어떻게 보면은 그냥 완전히 SEO를 위해서
33:24 ~ 33:26 -  정말 딱인 그런 키워드니까요.
33:26 ~ 33:30 -  중요한 단어들 나열하는 거니까 정말
33:30 ~ 33:40 -  더할 나위 없이 좋겠다 이렇게 생각이 되지만 실제로 구글을 포함한 그런 검색엔진에서 얘는 고려를 하지 않는다고 합니다
33:40 ~ 33:49 -  얘를 반영을 하지 않는 거죠. 그러니까 이 부분은 뭐 굳이 그렇게 안 써도 될 거라고 생각이 되고
33:49 ~ 33:52 -  description 그 다음에 title 이런 것들이 중요하다는 거고요.
33:53 ~ 33:55 -  그 다음에 헤딩스, 문서 내부에 보면
33:55 ~ 33:58 -  이런 헤딩이라고 하는 것을 쓰게 되는데요.
33:58 ~ 34:00 -  이게 제목이죠, 제목.
34:00 ~ 34:09 -  heading 이라고 하는 것이 제목이기 때문에 제목은 1부터 6인가요? 이렇게 정해져 있는데 h1이 제일 큰 제목
34:09 ~ 34:18 -  그 다음에 h2 라고 하는 것 이거보다 하나 밑에 제목 이 밑에는 만약에 또 있다 그러면
34:18 ~ 34:22 -  h3 이렇게 만들 수 있거든요 그래서 이런 식으로 쭉 되어 있는데
34:22 ~ 34:26 -  예를 들면 문서 구조를 책처럼 정리가 되어 있다 그러면 몇 장에
34:26 ~ 34:30 -  예를 들면 1장이 HTML이고
34:30 ~ 34:40 -  css 다 라고 하면은 일장이 있고 그 일장에 해당하는 것 중에서 뭐 어떤 태그들 뭐 이런 것들이 있을 수 있겠죠 그래서 고거에 해당하는 이 일장에
34:40 ~ 34:47 -  그 서브들 서브 h2 로 되어 있는 절들이 있을 있게 될텐데 장 밑에 절들이 있게 되니까요
34:47 ~ 34:53 -  그런 것처럼 이렇게 구조를 만들 때 여기에 있는 것들도 굉장히 중요하게
34:53 ~ 35:00 -  검색엔진이 생각하더라 라는 거죠. 그래서 이거를 여러분들이 여기다가도
35:00 ~ 35:06 -  유용한 내용들을 많이 써 놓는 것이 검색엔진에서 상위노출 할 수 있는 길이다라는 거구요
35:06 ~ 35:17 -  그 다음에 오픈 그래프라고 하는 것이 있는데요 여러분들 카톡 같은데 보면 이렇게 그 sns 하실때 여기다가 링크를 해서 보내면 나는 요거 이 텍스트
35:17 ~ 35:25 -  보냈는데 이 웹페이지에 가 가지고 이렇게 그림하고 기본적인 내용 이런 것들을 가지고 오는 걸 보신 적이 있을 겁니다.
35:25 ~ 35:30 -  그래서 이런 것이 오픈 그래프라고 하는 것을 제공을 합니다.
35:30 ~ 35:35 -  이런게 가능하거든요. 그래서 이런 오픈 그래프에 보시면 여기에 타이틀이라든지
35:35 ~ 35:38 -  og라고 하는 것은 오픈 그래프에 준 말인데요.
35:38 ~ 35:44 -  namespace og colon 해가지고 타이틀인데 og에서 쓰는 타이틀이다라고 알려주는 거거든요.
35:44 ~ 35:50 -  그래서 어쨌든 og colon title 그 다음에 og colon description 이 뒤에 나오는 내용들에
35:50 ~ 35:56 -  그 내용들이 굉장히 좀 중요하게 사용이 된다라는 거죠.
35:56 ~ 36:00 -  그래서 그냥 글만 잘 적어놨으니까
36:00 ~ 36:07 -  내 글은 상위 검색엔진에 상위 노출되겠지 이렇게 생각하는 것이 아니고
36:07 ~ 36:15 -  실제로 이런 거를 더 신경을 써 주면 좋다는 것도 여러분들이 좀 신경을 써 주시면 좋을 것 같습니다
36:15 ~ 36:21 -  자 그 다음에 액세서빌리티 인데요 요즘 굉장히 중요하죠. Accessibility가.
36:23 ~ 36:24 -  제가 그
36:25 ~ 36:26 -  올해는 아니고
36:26 ~ 36:30 -  그 짧게 교환교수 갔다 오면서
36:30 ~ 36:32 -  굉장히 미국에서 놀랐던 점이 하나 있는데요.
36:33 ~ 36:34 -  미국에 도서관을 갔어요.
36:35 ~ 36:41 -  그런데 정말로 그냥 혼자서는 거동을 할 수 없고
36:41 ~ 36:45 -  한번 이동을 할 때는 굉장히 많은 사람들이
36:45 ~ 36:52 -  휠체어도 아니고 이렇게 움직일 수 있는 바퀴가 달린 침대에서
36:52 ~ 37:00 -  수액이라고 하나요?
37:00 ~ 37:02 -  수액 말고요. 수액.
37:03 ~ 37:04 -  그렇죠. 이렇게 맞는 거.
37:05 ~ 37:06 -  주사기 이렇게 맞는 거 있죠.
37:07 ~ 37:11 -  그래서 그걸 맞으면서 도서관에 있고
37:11 ~ 37:14 -  그거를 옆에서 누가 책을 읽어주고
37:14 ~ 37:15 -  제가 이런 거를 본 적이 있는데
37:15 ~ 37:17 -  정말 놀랐었어요.
37:17 ~ 37:19 -  우리나라 같으면 그 당시에
37:19 ~ 37:20 -  그렇게 그 정도 몸에 놀랐었어요. 그게 우리나라 같으면 그 당시에
37:25 ~ 37:30 -  그렇게 그 정도 몸이 힘들다. 몸이 힘든 상황이었으면 나다니기가 굉장히 힘들었을 것 같은데
37:30 ~ 37:32 -  그분이 이제 왔다 갔다 할 때
37:32 ~ 37:35 -  그런 차들이나 이런 게 제공이 돼가지고
37:35 ~ 37:37 -  도서관 어떤 지식에 대한
37:37 ~ 37:41 -  그런 열정이나 욕구를 가지고 있을 테니까
37:41 ~ 37:43 -  그런 거를 충족시킬 수 있는
37:43 ~ 37:46 -  그런 시스템이 있다는 것에 대해서
37:46 ~ 37:50 -  보면서 제가 아 정말 미국이 선진국이구나
37:50 ~ 37:51 -  이렇게 생각을 한 적이 있습니다
37:51 ~ 37:59 -  근데 사실은 뭐 그런 거 빼면 우리나라가 좋은 면도 굉장히 많이 있다는 것을
38:00 ~ 38:02 -  좀 느껴서 그때도 좀 의외긴 했었는데
38:02 ~ 38:07 -  어쨌든 그런 접근성이라고 하는 거
38:07 ~ 38:13 -  이런 것들이 굉장히 배려가 잘 돼 있다
38:13 ~ 38:14 -  이렇게 좀 느꼈었습니다
38:14 ~ 38:18 -  그래서 이 접근성이라고 하는 것은
38:18 ~ 38:22 -  가능한 많은 사용자가 접근할 수 있도록
38:22 ~ 38:25 -  접근성을 향상시킬 필요가 있다는 거죠.
38:26 ~ 38:29 -  그래서 눈에 보이는 요소에만
38:30 ~ 38:38 -  집중해 가지고 html을 작성하는 것이 아니고 뭔가 올바른 구조로 시멘틱 태그란 얘기가 나오는데요
38:38 ~ 38:46 -  뒤에 설명이 나올 겁니다 그래서 시멘틱 태그라고 하는 것은 의미론적으로 어떤 태그인데 의미를 갖고 있는 태그 태그라고 하는 것 자체가
38:46 ~ 38:51 -  그 마크업하는 마킹하는 기능이라고 했죠. 그러니까 원래 데이터가 있고
38:51 ~ 38:54 -  그거를 꾸며주는 부가적인 데이터인데
38:54 ~ 38:56 -  이 데이터가 뭐다라는 거를
38:56 ~ 39:00 -  의미론적으로 정확하게 잘 꾸미고 있으면
39:00 ~ 39:02 -  훨씬 더 이해하는데 좋겠죠.
39:03 ~ 39:06 -  사람은 그게 태그가 보이지 않기 때문에 상관없지만
39:06 ~ 39:11 -  뭔가 컴퓨터가 그걸 분석할 때는 훨씬 더 잘 이해할 수 있을 거다라는 겁니다.
39:13 ~ 39:18 -  그래서 올바른 구조로 이런 시멘틱 태그들을 사용을 해가지고
39:18 ~ 39:22 -  HTML을 작성하려고 하는 노력이 필요하다라는 거예요. 그냥 눈에 보이니까 똑같이 보이네을 해가지고 html 작성하려고 하는 노력이 필요하다는 거예요.
39:22 ~ 39:26 -  그냥 눈에 보이니까 똑같이 보이네 이렇게 해가지고 하지 마시고
39:26 ~ 39:30 -  내가 이걸 제대로 만든 구조인가? 이 태그를 쓰는 게 맞았나?
39:30 ~ 39:36 -  여러분들이 좀 생각을 하셔야 된다 라는 거죠. 그렇게 만약에 한다고 했을 때는 결과적으로
39:36 ~ 39:44 -  SEO, Search Engine Optimization이 검색 엔진 최적화가 잘 될 거다 라는 겁니다.
39:44 ~ 39:51 -  자 그래서 눈이 보이지 않거나 뭐 시력이 나쁘다든지 그 다음에 노안이 저처럼 노안이 왔다든지
39:51 ~ 39:54 -  아니면 생명이나 색약, 저는 색약도 있거든요
39:54 ~ 40:00 -  그러니까 색약이 있다든지, 청각이상 아니면
40:00 ~ 40:10 -  몸이 불편해서 정확한 위치를 클릭하기가 힘들다든지 뭐 이런 것들이 전부 다 장애라고 볼 수 있는데
40:10 ~ 40:20 -  그런 장애인들을 이렇게 얘기하는 것도 좀 꺼려져서 사실은 장애인 이렇게 얘기하는 것들도
40:20 ~ 40:22 -  그분들한테 신뢰가 될까봐 조금 좀
40:23 ~ 40:25 -  피하기는 어쨌든 언급을 해야 되겠네요.
40:25 ~ 40:27 -  이 accessibility라고 하는 것은
40:27 ~ 40:30 -  그런 장애를 가진 사람들도
40:30 ~ 40:33 -  우리가 만든 웹페이지를 접근할 수 있도록 해주는
40:33 ~ 40:36 -  그래서 그걸 접근성이라고 그렇게 얘기를 하는 겁니다
40:36 ~ 40:40 -  웹페이지뿐만이 아니고 앱을 만들 때도 마찬가지예요
40:40 ~ 40:44 -  그래서 만약에 눈이 잘 안 보이시는 분이 있다라고 하면
40:44 ~ 40:47 -  화면을 읽어주는 그런 화면 리더기들 같은 것이 있는데
40:47 ~ 40:52 -  그런 것들을 위해서 굉장히 세심하게 좀 신경 써서 해야 되는 부분들이
40:52 ~ 40:54 -  있거든요 웹페이지도 마찬가지다
40:54 ~ 40:55 -  라는 거죠
40:55 ~ 40:57 -  자 그래서
40:57 ~ 40:58 -  WHO
41:00 ~ 41:09 -  WHO에서 발표한 것을 보면 전 세계인 15% 정도, 굉장히 많은 거죠.
41:09 ~ 41:14 -  15% 정도에 해당하는 사람들이 장애를 가지고 있다, 그렇게 얘기를 했다고 합니다.
41:14 ~ 41:20 -  어떤 식의 장애인지는 모르겠지만 어쨌든 이런 뭐가
41:24 ~ 41:26 -  신체적인 거 말고도 정신적으로도 집중을 하기 힘들다든지 뭐 이런 게 있을 수 있거든요.
41:26 ~ 41:30 -  그러니까 그런 것들을 다 포함하게 되면은
41:30 ~ 41:40 -  15% 정도가 된다. 이렇게 얘기를 했다는 겁니다. 그래서 어쨌든 그런 사람들도 우리가 만든 웹페이지에 잘 접근할 수 있도록
41:40 ~ 41:50 -  우리가 신경을 써서 만드는 게 좋겠다라는 거죠. 그래서 어떤 방법들이 흔히 사용되냐면 텍스트를 그대로 읽어서 이해가 될 수 있도록 작성하는 게
41:50 ~ 41:54 -  좋다라고 되어 있는데요. 뭐냐면 눈이 보이지 않는다라고 했을 경우에
41:54 ~ 42:00 -  지금 현재 페이지를 읽어라 그러면 화면 리더기가 그걸 읽어주게 됩니다.
42:00 ~ 42:06 -  TTS 같은 걸 통해 가지고 읽어주게 되는데 TTS라고 하는 것은 Text to Speech라고 하는 거죠.
42:07 ~ 42:16 -  그래서 TTS나 이런 것들을 가지고 읽어주게 되는데 그때 만약에 마이너스 기호가 어디에서부터 어디까지 이렇게 돼 있다라고 하면
42:16 ~ 42:21 -  3-7 그러면 이게 3에서부터 7까지 페이지 3에서부터 7까지
42:21 ~ 42:24 -  페이지 3에서부터 7페이지 이렇게 써있다
42:24 ~ 42:25 -  그렇게 쓰는 것보다는
42:25 ~ 42:29 -  3페이지에서 7페이지까지 이런 식으로 쓰는 것이
42:30 ~ 42:35 -  좋은 표현이다라는 거죠. 그래서 그거를 3-7 이렇게 리더기가 읽는
42:35 ~ 42:41 -  것보다는 3에서부터 3페이지에서부터 7페이지까지 이렇게 쓰는 것이
42:41 ~ 42:45 -  들었을 때 훨씬 더 이해가 잘 되겠죠.
42:45 ~ 42:50 -  그 다음에 약어라든지 추각형 이런거는 좀 사용하는 것을 좀
42:50 ~ 42:51 -  지향해라
42:51 ~ 42:53 -  지양이라고 하는 건 하지 말라는 얘기입니다
42:53 ~ 42:56 -  지향이면 뭐뭐 하라는 거고
42:56 ~ 43:00 -  지양이면 뭐뭐 하지 말라는 거기 때문에
43:00 ~ 43:09 -  이런 것들도 굉장히 힘들다는 거죠. 그래서 그런 것들을 최소한 처음에 나왔다 그랬을 때는 그거를 좀 풀어서 써주고 그 뒤부터는
43:09 ~ 43:22 -  뭐 좀 약어를 쓰더라도 처음에는 좀 뭐 이건 근데 제가 생각하기에는 꼭 장애가 있다기 보다 그냥 일반적으로도 좀 적용되는 얘기라고 생각이 됩니다
43:22 ~ 43:25 -  자 그 다음에 웹페이지를 읽는데
43:25 ~ 43:28 -  만약에 그림이 있다라고 하면 굉장히 난감하죠
43:28 ~ 43:30 -  그래서 리더기가
43:30 ~ 43:41 -  그림을 어떻게 표현할지 그러니까 그 alt 라고 하는 그 얼터너티브 라고 하는 그 애트리뷰트가 있는데 img 태그에 보면은 alt 라고 하는 애트리뷰트가 있습니다.
43:41 ~ 44:00 -  애트리뷰트라고 하는 것은 태그에서 값을 가지고 있는 걸 애트리뷰트라고 이렇게 속성을 애트리뷰트라고 얘기를 하는데 그래서 그 그림이 있다라고 하면 어떤 그림인지 이런거를 기술하는 텍스트가 텍스트를 추가하는 것이 좀 좋겠다 라는 거죠
44:00 ~ 44:11 -  자 그래서 어쨌든 이런식으로 액세서빌리티 이런 것들도 HTML 만들 때 고려의 대상이 된다 라는 것을 여러분들이 좀 알고 계시면 좋을 것
44:11 ~ 44:13 -  같습니다
44:13 ~ 44:19 -  세심하게 만들어야 되겠죠. 자 그 다음에는 Semantic 태그라고 하는 건데요
44:19 ~ 44:22 -  Semantic 이라고 하는 거, 예를 들면 뭐 뭐가 있을까요?
44:22 ~ 44:26 -  여러분들 컴파일러 4학년 때 배우시면 뭐 Syntax Error, Semantic Error,
44:26 ~ 44:30 -  뭐 Semantic Error라고 하나? 아무튼 뭐 거기 Semantic이라고 하는 거죠.
44:30 ~ 44:38 -  어떤 그 문구가 스펠링을 잘못 쓴 게 아니고 의미론적으로 잘못 썼다고 할 때
44:38 ~ 44:41 -  semantic error라고 이렇게 이야기하게 되는데
44:41 ~ 44:45 -  semantic이라고 하는 것이 의미라는 뜻입니다. 의미.
44:45 ~ 44:49 -  그래서 의미에 맞는 태그들을 써야 된다라는 거죠.
44:49 ~ 44:55 -  그래서 단순히 화면에 표현되는 어떤 눈에 보이는 그런 시각적인 것뿐만이 아니고
44:55 ~ 45:00 -  의미를 포함하는 태그를 가능하면 적극적으로 써라 라는 거죠.
45:00 ~ 45:06 -  눈에 보기에 그냥 잘 보이는 것처럼 똑같이 보인다고 해서
45:06 ~ 45:10 -  두 개가 똑같이 가치를 가지고 있다 그건 아니라는 거죠
45:10 ~ 45:16 -  그러니까 점점 더 우리가 눈에 보이는 것하고 데이터를 분리하는 추세이기 때문에
45:16 ~ 45:23 -  여러분들께서 이런 시멘틱 태그를 사용하시는 것이 굉장히 좋겠다는 겁니다.
45:23 ~ 45:30 -  그래서 검색엔진에서 특히 앞에 있는 SEO랑 연결이 되는 거죠.
45:30 ~ 45:35 -  노출할 때도 이런 시멘틱 태그들을 중요하게 생각하기 때문에
45:35 ~ 45:39 -  이런 것들을 적극 활용하는 게 좋겠고요.
45:39 ~ 45:44 -  그 다음에 액세서빌리티, 앞에서 말씀드렸던 액세서빌리티를 위해서도
45:44 ~ 45:52 -  시멘틱 태그를 쓰게 되면 화면 리더기가 인식하기에 굉장히 좋다고 합니다
45:52 ~ 45:54 -  뒤에 예제를 한번 보도록 하고요
45:54 ~ 46:00 -  그 다음에 의미론적으로 분석 및 재가공하기에도 굉장히 좋다는 거죠
46:00 ~ 46:05 -  웹페이지를 뭐 이러면 크롤링 해가지고 뭔가를 사용한다 라고 했을 경우에
46:05 ~ 46:13 -  어 그때도 이제 뭐 굉장히 복잡하게 되어 있으면 원하는 정보를 그 찾아내기가 굉장히 힘들겠죠 그러니까
46:13 ~ 46:24 -  만약에 내가 정보를 제공하는 목적이고 남들이 걸 못 쓰게 하려고 하는 것이 아니다 라고 했을 경우에는 기왕이면 좀 좋게 잘 분석해서 쓸 수 있도록 해주면은
46:24 ~ 46:26 -  활용도가 높아지겠죠.
46:26 ~ 46:30 -  자 그래서 그럴 때도 그 의미의
46:30 ~ 46:32 -  맞는 태그를 쓰는 게 좋겠다 라는 거죠.
46:32 ~ 46:34 -  예제를 한번 보면은 이런 겁니다.
46:34 ~ 46:35 -  리스트라고 하는
